generation,total_steps,match_type,policy_loss,value_loss,entropy_loss,approx_kl,clip_frac,epochs_done,ent_launch,ent_ships,ent_target,kl_launch,kl_ships,kl_target,cf_launch,cf_ships,cf_target,mean_dense_rew,mean_cap_bonus,mean_terminal_rew,mean_attempts,mean_launched,launch_rate,mean_filtered_invalid_target,mean_filtered_zero_ships,mean_filtered_sun,mean_out,mean_sun_crash,mean_target_hit_exclusive,mean_target_hit_ambiguous,mean_hit_other_exclusive,mean_hit_other_ambiguous,mean_captured_exclusive,mean_captured_ambiguous,mean_unknown_removal,win_rate,league_size
10,1280,self,0.10223434865474701,0.1461758092045784,-138.59312057495117,0.5251879841089249,0.853515625,4,27.46469783782959,-35.345863342285156,146.47428512573242,0.012852171203121543,0.43570682033896446,0.06598074175417423,0.212890625,0.84765625,0.58203125,0.016528125,0.013867187500000003,0.0,4.4921875,1.3984375,0.31130434782608696,2.7734375,0.0,0.3203125,0.1484375,0.015625,0.3125,0.0234375,0.5546875,0.03125,0.2109375,0.0,0.0,,2
10,1280,eval,0.10223434865474701,0.1461758092045784,-138.59312057495117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,2
11,1408,self,0.1787099353969097,0.10539707355201244,-138.5886001586914,0.35269971191883087,0.818359375,4,27.45183229446411,-35.345863342285156,146.4826316833496,0.012109091272577643,0.26285459101200104,0.06806357949972153,0.171875,0.78515625,0.61328125,0.0066171875,0.01171875,0.0,1.203125,0.78125,0.6493506493506493,0.25,0.0,0.171875,0.0,0.0,0.3046875,0.0,0.1484375,0.03125,0.0625,0.0,0.0,,2
12,1536,self,0.1925501637160778,0.06780942715704441,-138.45848083496094,0.31275196373462677,0.810546875,4,27.406625747680664,-35.345863342285156,146.3977165222168,0.011755146086215973,0.2592354267835617,0.05123744532465935,0.177734375,0.76171875,0.5625,0.010000000000000004,0.01171875,0.0,1.8046875,0.8984375,0.49783549783549785,0.640625,0.0,0.265625,0.0390625,0.0,0.21875,0.0078125,0.28125,0.0234375,0.1015625,0.0,0.0,,2
13,1664,self,0.09948557801544666,0.05409352481365204,-138.10275268554688,0.30293116718530655,0.783203125,4,27.225382328033447,-35.345863342285156,146.22323989868164,0.015005785506218672,0.24353080987930298,0.05521772522479296,0.234375,0.751953125,0.55078125,2.3437500000000055e-05,0.0,0.0,0.453125,0.3515625,0.7758620689655172,0.0234375,0.0,0.078125,0.015625,0.0,0.1484375,0.0,0.109375,0.0,0.0,0.0,0.0,,2
14,1792,league,0.11883321776986122,0.06990017835050821,-137.77113342285156,0.33236153051257133,0.8125,4,27.07204008102417,-35.345863342285156,146.04496383666992,0.009790163021534681,0.2760968580842018,0.050174460746347904,0.134765625,0.787109375,0.509765625,-0.006121874999999998,0.0021484375,0.0,0.515625,0.4296875,0.8333333333333334,0.0390625,0.0,0.046875,0.0078125,0.0078125,0.1640625,0.0078125,0.125,0.0,0.03125,0.0,0.0,,2
15,1920,self,0.21591535955667496,0.04988059774041176,-137.73896408081055,0.24808020889759064,0.796875,4,27.214109897613525,-35.345863342285156,145.8707160949707,0.01693823980167508,0.1612391360104084,0.06254698522388935,0.234375,0.708984375,0.564453125,-0.0007203125000000009,0.007421875000000001,0.0,0.8671875,0.6484375,0.7477477477477478,0.09375,0.0,0.125,0.0,0.0,0.125,0.0,0.3359375,0.015625,0.046875,0.0,0.0,,2
15,1920,eval,0.21591535955667496,0.04988059774041176,-137.73896408081055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,2
16,2048,self,0.12352198362350464,0.20390473678708076,-137.8075065612793,0.2766723893582821,0.796875,4,27.397090435028076,-35.345863342285156,145.75628280639648,0.013638588599860668,0.2128050997853279,0.05057564005255699,0.224609375,0.73828125,0.5390625,0.011278125,0.016796875000000003,0.0,1.9140625,1.359375,0.710204081632653,0.28125,0.0,0.2734375,0.09375,0.0078125,0.3515625,0.0078125,0.484375,0.015625,0.1171875,0.0,0.0,,3
17,2176,league,0.09517627954483032,0.03193860920146108,-137.80809020996094,0.2346075139939785,0.8125,4,27.50855827331543,-35.345863342285156,145.6453971862793,0.01085138157941401,0.1749831922352314,0.0588745279237628,0.16015625,0.734375,0.56640625,-0.0030499999999999998,0.0076171875,0.0,0.8828125,0.5703125,0.6460176991150443,0.15625,0.0,0.15625,0.0,0.0,0.296875,0.0234375,0.1328125,0.0,0.046875,0.015625,0.0,,3
