generation,total_steps,match_type,policy_loss,value_loss,entropy_loss,approx_kl,clip_frac,epochs_done,ent_launch,ent_ships,ent_target,kl_launch,kl_ships,kl_target,cf_launch,cf_ships,cf_target,mean_dense_rew,mean_cap_bonus,mean_terminal_rew,mean_attempts,mean_launched,launch_rate,mean_filtered_invalid_target,mean_filtered_zero_ships,mean_filtered_sun,mean_filtered_path,mean_out,mean_sun_crash,mean_target_hit_exclusive,mean_target_hit_ambiguous,mean_hit_other_exclusive,mean_hit_other_ambiguous,mean_captured_exclusive,mean_captured_ambiguous,mean_unknown_removal,win_rate,league_size
10,1280,self,0.21457552909851074,0.07418373133987188,-137.75861740112305,0.5621410086750984,0.890625,4,27.08174991607666,-35.345863342285156,146.02273559570312,0.012453362112864852,0.43496087938547134,0.07991919666528702,0.205078125,0.837890625,0.634765625,-0.013653124999999995,0.0025390624999999992,0.0,1.484375,0.734375,0.49473684210526314,0.1875,0.0,0.203125,0.359375,0.0,0.0,0.4296875,0.0234375,0.015625,0.0,0.078125,0.0,0.0,,2
10,1280,eval,0.21457552909851074,0.07418373133987188,-137.75861740112305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2
11,1408,self,0.3296429216861725,0.04664071090519428,-137.75962829589844,0.5171322375535965,0.830078125,4,26.970643520355225,-35.345863342285156,146.13484573364258,0.018217043252661824,0.40344495326280594,0.06421098951250315,0.26953125,0.806640625,0.578125,0.004493749999999997,0.0044921875,0.0,1.0859375,0.4140625,0.381294964028777,0.4296875,0.0,0.09375,0.1484375,0.0078125,0.0,0.28125,0.0,0.0234375,0.0,0.0546875,0.0,0.0,,3
12,1536,self,0.19125080853700638,0.07035139948129654,-137.45147323608398,0.38613057881593704,0.80859375,4,26.681223392486572,-35.345863342285156,146.1161117553711,0.017819511238485575,0.30657803267240524,0.06603272072970867,0.28515625,0.802734375,0.572265625,-0.002801562500000001,0.0107421875,0.0,2.078125,0.5234375,0.2518796992481203,0.8046875,0.0,0.203125,0.546875,0.0,0.0,0.375,0.0,0.0078125,0.0,0.109375,0.0,0.0,,3
13,1664,self,0.13161597028374672,0.06552352197468281,-137.35071182250977,0.3287856802344322,0.794921875,4,26.601597785949707,-35.345863342285156,146.09497833251953,0.014034161111339927,0.22881528735160828,0.06644999422132969,0.232421875,0.765625,0.58984375,0.007579687500000004,0.007812500000000002,0.0,1.7578125,0.7109375,0.40444444444444444,0.46875,0.0078125,0.21875,0.3515625,0.0,0.0,0.3359375,0.03125,0.0234375,0.0,0.09375,0.015625,0.0,,3
14,1792,self,0.11444859392940998,0.03237342834472656,-137.45587921142578,0.3349285051226616,0.826171875,4,26.711248874664307,-35.345863342285156,146.0904884338379,0.01556379022076726,0.2571082152426243,0.049314770847558975,0.23828125,0.7890625,0.490234375,-0.004073437499999999,0.0095703125,0.0,2.2109375,0.6328125,0.2862190812720848,0.7578125,0.0,0.28125,0.5390625,0.0078125,0.0078125,0.453125,0.0,0.0,0.0,0.109375,0.0,0.0,,3
15,1920,self,0.15917852334678173,0.06558928452432156,-137.79532623291016,0.3971971571445465,0.80859375,4,27.01646375656128,-35.345863342285156,146.12472915649414,0.025594140402972698,0.3099173679947853,0.05865845177322626,0.345703125,0.76953125,0.5078125,0.006207812499999998,0.008984375000000001,0.0,2.609375,0.515625,0.19760479041916168,1.3359375,0.0,0.265625,0.4921875,0.0078125,0.0,0.3515625,0.015625,0.015625,0.0,0.140625,0.0,0.0,,3
15,1920,eval,0.15917852334678173,0.06558928452432156,-137.79532623291016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,3
16,2048,self,0.1631915271282196,0.004880772554315627,-138.07672882080078,0.2788288816809654,0.80078125,4,27.217334270477295,-35.345863342285156,146.20525741577148,0.012753639835864305,0.2340620756149292,0.052714573219418526,0.1953125,0.755859375,0.552734375,0.0007218750000000008,0.001953125,0.0,1.015625,0.4296875,0.4230769230769231,0.0625,0.0,0.109375,0.4140625,0.0078125,0.0,0.265625,0.0078125,0.015625,0.0,0.03125,0.0,0.0,,4
17,2176,self,0.10903610847890377,0.024111838079988956,-138.2099380493164,0.2311137095093727,0.7890625,4,27.293328285217285,-35.345863342285156,146.2624740600586,0.012098170584067702,0.16930726170539856,0.05951670277863741,0.169921875,0.728515625,0.57421875,-0.006617187500000001,0.00078125,0.0,0.4453125,0.1328125,0.2982456140350877,0.0234375,0.0,0.1171875,0.171875,0.0,0.0,0.1015625,0.0,0.0,0.0,0.0078125,0.0,0.0,,4
